Id,Symbol,ScientificName,ScientificNameComponents,CommonName,Group,RankId,Rank,Durations,GrowthHabits,NativeStatuses,MapCoordinates,PlantsDistributionResults,AcceptedId,OtherCommonNames,HasSynonyms,Ancestors,HasSubordinateTaxa,SubordinateTaxa,HasWildlife,Wildlife,HasWetlandData,WetlandData,HasImages,HasRelatedLinks,RelatedLinks,HasLegalStatuses,LegalStatuses,HasNoxiousStatuses,NoxiousStatuses,HasDocumentation,HasDistributionData,Documentation,PlantNotes,NumImages,ProfileImageFilename,ImageId,HasInvasiveStatuses,InvasiveStatuses,ProtectedStatuses,PlantGuideUrls,FactSheetUrls,HasCharacteristics,PlantLocationId,Characteristics,HasEthnobotany,Ethnobotanies,HasPollinator,Pollinators,ScientificSort,characteristics/0/Active Growth Period,characteristics/0/Bloat,characteristics/0/C:N Ratio,characteristics/0/Coppice Potential,characteristics/0/Fall Conspicuous,characteristics/0/Fire Resistant,characteristics/0/Flower Color,characteristics/0/Flower Conspicuous,characteristics/0/Foliage Color,characteristics/0/Foliage Porosity Summer,characteristics/0/Foliage Porosity Winter,characteristics/0/Foliage Texture,characteristics/0/Fruit/Seed Color,characteristics/0/Fruit/Seed Conspicuous,characteristics/0/Growth Form,characteristics/0/Growth Rate,"characteristics/0/Height at 20 Years, Maximum (feet)","characteristics/0/Height, Mature (feet)",characteristics/0/Known Allelopath,characteristics/0/Leaf Retention,characteristics/0/Lifespan,characteristics/0/Low Growing Grass,characteristics/0/Nitrogen Fixation,characteristics/0/Resprout Ability,characteristics/0/Shape and Orientation,characteristics/0/Toxicity,characteristics/0/Adapted to Coarse Textured Soils,characteristics/0/Adapted to Fine Textured Soils,characteristics/0/Adapted to Medium Textured Soils,characteristics/0/Anaerobic Tolerance,characteristics/0/CaCO3 Tolerance,characteristics/0/Cold Stratification Required,characteristics/0/Drought Tolerance,characteristics/0/Fertility Requirement,characteristics/0/Fire Tolerance,"characteristics/0/Frost Free Days, Minimum",characteristics/0/Hedge Tolerance,characteristics/0/Moisture Use,"characteristics/0/pH, Maximum","characteristics/0/pH, Minimum","characteristics/0/Planting Density per Acre, Maximum","characteristics/0/Planting Density per Acre, Minimum","characteristics/0/Precipitation, Maximum","characteristics/0/Precipitation, Minimum","characteristics/0/Root Depth, Minimum (inches)",characteristics/0/Salinity Tolerance,characteristics/0/Shade Tolerance,"characteristics/0/Temperature, Minimum (°F)",characteristics/0/Bloom Period,characteristics/0/Commercial Availability,characteristics/0/Fruit/Seed Abundance,characteristics/0/Fruit/Seed Period Begin,characteristics/0/Fruit/Seed Period End,characteristics/0/Fruit/Seed Persistence,characteristics/0/Propagated by Bare Root,characteristics/0/Propagated by Bulb,characteristics/0/Propagated by Container,characteristics/0/Propagated by Corm,characteristics/0/Propagated by Cuttings,characteristics/0/Propagated by Seed,characteristics/0/Propagated by Sod,characteristics/0/Propagated by Sprigs,characteristics/0/Propagated by Tubers,characteristics/0/Seed per Pound,characteristics/0/Seed Spread Rate,characteristics/0/Seedling Vigor,characteristics/0/Small Grain,characteristics/0/Vegetative Spread Rate,characteristics/0/Berry/Nut/Seed Product,characteristics/0/Christmas Tree Product,characteristics/0/Fodder Product,characteristics/0/Fuelwood Product,characteristics/0/Lumber Product,characteristics/0/Naval Store Product,characteristics/0/Nursery Stock Product,characteristics/0/Palatable Browse Animal,characteristics/0/Palatable Human,characteristics/0/Post Product,characteristics/0/Pulpwood Product,characteristics/0/Veneer Product,characteristics/0/Protein Potential,characteristics/0/Palatable Graze Animal,Synonyms/0/Id,Synonyms/0/Symbol,Synonyms/0/ScientificName,Synonyms/0/ScientificNameComponents,Synonyms/0/CommonName,Synonyms/0/Group,Synonyms/0/RankId,Synonyms/0/Rank,Synonyms/0/Durations,Synonyms/0/GrowthHabits,Synonyms/0/NativeStatuses,Synonyms/0/MapCoordinates,Synonyms/0/PlantsDistributionResults,Synonyms/0/AcceptedId,Synonyms/0/OtherCommonNames,Synonyms/0/HasSynonyms,Synonyms/0/Synonyms/0,Synonyms/0/Ancestors,Synonyms/0/HasSubordinateTaxa,Synonyms/0/SubordinateTaxa,Synonyms/0/HasWildlife,Synonyms/0/Wildlife,Synonyms/0/HasWetlandData,Synonyms/0/WetlandData,Synonyms/0/HasImages,Synonyms/0/HasRelatedLinks,Synonyms/0/RelatedLinks,Synonyms/0/HasLegalStatuses,Synonyms/0/LegalStatuses,Synonyms/0/HasNoxiousStatuses,Synonyms/0/NoxiousStatuses,Synonyms/0/HasDocumentation,Synonyms/0/HasDistributionData,Synonyms/0/Documentation,Synonyms/0/PlantNotes,Synonyms/0/NumImages,Synonyms/0/ProfileImageFilename,Synonyms/0/ImageId,Synonyms/0/HasInvasiveStatuses,Synonyms/0/InvasiveStatuses,Synonyms/0/ProtectedStatuses,Synonyms/0/PlantGuideUrls,Synonyms/0/FactSheetUrls,Synonyms/0/HasCharacteristics,Synonyms/0/PlantLocationId,Synonyms/0/Characteristics,Synonyms/0/HasEthnobotany,Synonyms/0/Ethnobotanies,Synonyms/0/HasPollinator,Synonyms/0/Pollinators,Synonyms/0/ScientificSort,characteristics/0/After Harvest Regrowth Rate
79448,HEBOB2,&lt;i&gt;Hedysarum boreale&lt;/i&gt; Nutt. ssp. &lt;i&gt;boreale&lt;/i&gt; var. &lt;i&gt;boreale &lt;/i&gt;,,Utah sweetvetch,,0,,,,,,,79448,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,0,,0,false,,,,,false,0,,false,,false,,Hedysarum boreale Nutt. ssp. boreale var. boreale,Spring and Summer,None,Low,No,No,No,Red,Yes,Green,Porous,Porous,Fine,Brown,No,Single Crown,Moderate,,2.0,No,No,Moderate,No,Medium,No,Semi-Erect,None,Yes,Yes,Yes,None,Low,No,High,Low,High,120,None,Medium,8.0,5.2,,,36,10,18,Low,Intolerant,-23,Mid Spring,No Known Source,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,46313,Moderate,Low,No,None,No,No,Yes,,No,No,No,High,No,No,No,No,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
79482,HESU,&lt;i&gt;Hedysarum sulphurescens&lt;/i&gt; Rydb.,,white sweetvetch,,0,,,,,,,79482,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,0,,0,false,,,,,false,0,,false,,false,,Hedysarum sulphurescens Rydb.,Spring and Summer,Low,Low,No,No,No,White,Yes,Green,Porous,Porous,Fine,Brown,No,Multiple Stem,Moderate,,1.5,No,No,Long,No,Low,No,Decumbent,None,No,No,Yes,None,Medium,Yes,High,Low,Medium,90,None,Low,7.5,6.0,,,20,10,12,Low,Intermediate,-33,Late Spring,No Known Source,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,72570,Slow,Low,No,None,No,No,No,,No,No,No,Medium,No,No,No,No,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
36117,HEAU,&lt;i&gt;Helenium autumnale&lt;/i&gt; L.,,common sneezeweed,,0,,,,,,,36117,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,10,heau_002_thp.jpg,0,false,,,,,false,0,,false,,false,,Helenium autumnale L.,Spring and Summer,None,,No,No,No,Yellow,Yes,Green,Moderate,Porous,Fine,Brown,No,Single Stem,Rapid,,4.9,No,No,Moderate,No,None,No,Erect,Severe,Yes,Yes,Yes,Low,High,No,Low,Low,None,100,None,Medium,7.5,4.0,27000,19212,60,10,6,Low,Intolerant,-43,Fall,Routinely Available,Medium,Fall,Fall,No,Yes,No,No,No,No,Yes,No,No,No,1464516,Rapid,High,No,None,No,No,No,,No,No,No,Low,No,No,No,No,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
36143,HEFL,&lt;i&gt;Helenium flexuosum&lt;/i&gt; Raf.,,purplehead sneezeweed,,0,,,,,,,36143,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,14,hefl_001_thp.jpg,0,false,,,,,false,0,,false,,false,,Helenium flexuosum Raf.,Spring,None,,No,No,No,Yellow,Yes,Green,Moderate,Porous,Medium,Brown,No,Multiple Stem,Moderate,,3.2,No,No,Short,No,None,No,Erect,None,Yes,Yes,Yes,None,Low,No,Medium,Medium,Low,140,None,Low,7.5,4.5,10912,3450,60,20,6,None,Intolerant,-28,Summer,Routinely Available,High,Summer,Fall,No,Yes,No,No,No,No,Yes,No,No,No,2000000,Moderate,High,No,None,No,No,No,,No,No,No,Medium,No,No,No,No,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
36179,HEUN,&lt;i&gt;Helianthella uniflora&lt;/i&gt; (Nutt.) Torr. &amp; A. Gray,,oneflower helianthella,,0,,,,,,,36179,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,5,heun_001_thp.jpg,0,false,,,,,false,0,,false,,false,,Helianthella uniflora (Nutt.) Torr. &amp; A. Gray,Spring and Summer,None,Medium,No,No,Yes,Yellow,Yes,Green,Porous,Porous,Coarse,Brown,No,Multiple Stem,Rapid,,2.0,No,No,Short,No,None,No,Erect,None,Yes,No,No,None,High,No,High,Low,High,120,High,Low,8.0,7.0,,,35,10,6,None,Intermediate,-23,Spring,Contracting Only,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,41087,Rapid,High,No,None,No,No,No,,No,No,Yes,Low,No,No,No,No,Medium,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rapid
36186,HEAN2,&lt;i&gt;Helianthus angustifolius&lt;/i&gt; L.,,swamp sunflower,,0,,,,,,,36186,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,13,hean2_002_thp.jpg,0,false,,,,,false,0,,false,,false,,Helianthus angustifolius L.,Spring and Summer,None,,No,Yes,No,Yellow,Yes,Dark Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Moderate,,5.6,No,No,Moderate,No,None,No,Erect,None,Yes,No,Yes,None,Medium,No,Medium,Low,Medium,160,None,Medium,7.0,4.0,10912,3450,65,25,6,None,Intermediate,-28,Late Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,504000,Moderate,Medium,No,Moderate,No,No,No,,No,No,No,High,No,No,No,No,,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
36188,HEAN3,&lt;i&gt;Helianthus annuus&lt;/i&gt; L.,,common sunflower,,0,,,,,,,36188,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,18,hean3_002_thp.jpg,0,false,,,,,false,0,,false,,false,,Helianthus annuus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36215,HEDE4,&lt;i&gt;Helianthus debilis&lt;/i&gt; Nutt.,,cucumberleaf sunflower,,0,,,,,,,36215,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,1,hede4_001_thp.jpg,0,false,,,,,false,0,,false,,false,,Helianthus debilis Nutt.,Spring and Summer,None,Medium,No,Yes,Yes,Yellow,Yes,Green,Porous,Porous,Coarse,Brown,No,Stoloniferous,Slow,,0.5,No,No,Moderate,No,None,No,Prostrate,None,Yes,No,Yes,Low,High,No,Medium,Medium,Medium,300,None,Medium,7.2,5.2,18000,11000,60,35,14,Medium,Intolerant,22,Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,324000,Slow,Low,No,Rapid,No,No,No,,No,No,No,Low,No,No,No,No,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
36245,HEGR4,&lt;i&gt;Helianthus grosseserratus&lt;/i&gt; M. Martens,,sawtooth sunflower,,0,,,,,,,36245,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,4,hegr4_002_tvp.jpg,0,false,,,,,false,0,,false,,false,,Helianthus grosseserratus M. Martens,"Spring, Summer, Fall",None,Medium,No,Yes,No,Yellow,Yes,Dark Green,Moderate,Porous,Coarse,Brown,No,Rhizomatous,Moderate,,5.0,No,No,Moderate,No,None,No,Erect,None,Yes,Yes,Yes,None,Medium,Yes,Medium,Medium,Medium,90,None,Medium,7.3,5.8,18000,11000,40,20,12,None,Intolerant,-43,Late Summer,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,630000,Slow,High,No,Moderate,No,No,No,,No,No,No,High,Yes,No,No,No,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
36265,HEMA2,&lt;i&gt;Helianthus maximiliani&lt;/i&gt; Schrad.,,Maximilian sunflower,,0,,,,,,,36265,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,6,hema2_002_tvp.jpg,0,false,,,,,false,0,,false,,false,,Helianthus maximiliani Schrad.,Summer and Fall,None,Low,No,No,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Brown,No,Rhizomatous,Rapid,,5.0,No,No,Moderate,No,None,No,Erect,None,Yes,Yes,Yes,None,Medium,Yes,Medium,Medium,High,145,None,Medium,8.0,6.0,18000,11000,35,14,16,Low,Intolerant,-13,Late Summer,Routinely Available,High,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,196360,Moderate,High,No,Moderate,No,No,Yes,,No,No,No,High,No,No,No,No,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
36279,HENU,&lt;i&gt;Helianthus nuttallii&lt;/i&gt; Torr. &amp; A. Gray,,Nuttall's sunflower,,0,,,,,,,36279,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,3,henu_001_tvp.jpg,0,false,,,,,false,0,,false,,false,,Helianthus nuttallii Torr. &amp; A. Gray,"Spring, Summer, Fall",None,Medium,No,No,No,Yellow,Yes,Green,Porous,Porous,Coarse,Brown,Yes,Rhizomatous,Moderate,,10.0,No,No,Moderate,No,None,No,Erect,,No,Yes,Yes,Medium,Low,No,Low,Medium,Medium,120,None,Medium,7.5,5.9,,,20,12,14,None,Intolerant,-38,Mid Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,125000,Slow,Medium,No,Slow,No,No,No,,No,No,No,Medium,No,No,No,No,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
36339,HETU,&lt;i&gt;Helianthus tuberosus&lt;/i&gt; L.,,Jerusalem artichoke,,0,,,,,,,36339,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,16,hetu_004_tvp.jpg,0,false,,,,,false,0,,false,,false,,Helianthus tuberosus L.,Spring and Summer,None,,No,Yes,No,Yellow,Yes,Yellow-Green,Dense,Porous,Coarse,Brown,No,Rhizomatous,Rapid,,9.8,No,No,Moderate,No,None,No,Erect,None,Yes,No,Yes,None,Medium,No,High,Medium,Medium,100,None,Low,7.0,4.0,10912,4800,55,15,6,Low,Intermediate,-43,Late Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,Yes,75666,Moderate,Medium,No,Rapid,No,No,No,,No,No,No,High,Yes,No,No,No,,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
36356,HEHES,&lt;i&gt;Heliopsis helianthoides&lt;/i&gt; (L.) Sweet var. &lt;i&gt;scabra&lt;/i&gt; (Dunal) Fernald,,smooth oxeye,,0,,,,,,,36356,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,1,hesc14_001_tvd.jpg,0,false,,,,,false,0,,false,,false,,Heliopsis helianthoides (L.) Sweet var. scabra (Dunal) Fernald,Spring and Summer,None,Medium,No,No,No,White,Yes,Green,Moderate,Porous,Coarse,Brown,No,Single Crown,Moderate,,4.0,No,No,Short,No,None,No,Erect,None,Yes,No,Yes,None,Low,No,High,Medium,Medium,160,None,Low,6.8,5.6,,,40,24,10,None,Intermediate,-18,Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,116410,Slow,Low,No,None,No,No,Yes,,No,No,Yes,Medium,No,No,No,No,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
45024,HECU3,&lt;i&gt;Heliotropium curassavicum&lt;/i&gt; L.,,salt heliotrope,,0,,,,,,,45024,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,10,hecu3_002_thp.jpg,0,false,,,,,false,0,,false,,false,,Heliotropium curassavicum L.,"Spring, Summer, Fall",None,High,No,No,No,White,Yes,Gray-Green,Moderate,Porous,Coarse,Brown,No,Rhizomatous,Moderate,,1.2,No,No,Moderate,No,None,No,Decumbent,None,No,Yes,Yes,Low,None,No,Medium,Low,Medium,110,None,Medium,8.5,6.5,4800,2700,24,10,10,High,Intolerant,-28,Mid Spring,No Known Source,High,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,,Slow,Medium,No,Slow,No,No,No,,No,No,No,Low,No,No,No,No,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
23319,HEAL5,&lt;i&gt;Hemarthria altissima&lt;/i&gt; (Poir.) Stapf &amp; C.E. Hubbard,,limpograss,,0,,,,,,,23319,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,1,maal11_001_tvd.jpg,0,false,,,,,false,0,,false,,false,,Hemarthria altissima (Poir.) Stapf &amp; C.E. Hubbard,"Spring, Summer, Fall",None,Medium,No,No,Yes,,No,Green,Moderate,Moderate,Medium,,No,Rhizomatous,Moderate,,1.4,No,No,Moderate,Yes,None,No,Decumbent,None,No,Yes,Yes,Medium,Low,No,Low,High,High,220,None,High,7.5,5.5,40000,4800,70,35,16,None,Intolerant,24,,Routinely Available,,,,No,No,No,No,No,No,No,No,Yes,No,,,,No,Moderate,No,No,Yes,,No,No,No,Medium,No,No,No,No,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
28637,HEMER,&lt;i&gt;Hemerocallis&lt;/i&gt; L.,,daylily,,0,,,,,,,28637,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,1,hemer_001_thp.jpg,0,false,,,,,false,0,,false,,false,,Hemerocallis L.,Spring and Summer,None,Medium,No,No,No,Orange,Yes,Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Rapid,,3.0,No,No,Short,No,None,No,Erect,None,Yes,Yes,Yes,Low,Medium,No,Medium,Medium,Medium,110,None,Medium,8.0,4.8,19000,2700,60,28,16,Low,Intermediate,-23,Summer,Routinely Available,Medium,Summer,Fall,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,19000,None,Low,No,Slow,No,No,No,,No,No,Yes,Low,No,No,No,No,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84477,HESQ,&lt;i&gt;Henriettea squamulosum&lt;/i&gt; (Cogn.) W.S. Judd,,jusillo,,0,,,,,,,84477,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,0,,0,false,,,,,false,0,,false,,false,,Henriettea squamulosum (Cogn.) W.S. Judd,Spring,None,,No,No,No,White,No,Yellow-Green,,,Medium,Brown,No,,,50,30.0,No,Yes,,No,None,No,,,Yes,No,Yes,,Medium,No,,Medium,,365,Low,,,,640,320,,,36,,,40,Summer,,,Fall,Winter,No,No,No,No,No,No,Yes,No,No,No,,,,No,,No,No,No,Low,Yes,No,No,,No,Yes,No,Yes,,,84478,CASQ,&lt;i&gt;Calycogonium squamulosum&lt;/i&gt; Cogn.,,,,0,,,,,,,84477,,false,,,false,,false,,false,,false,false,,false,,false,,false,false,,,0,,0,false,,,,,false,0,,false,,false,,,
74048,HEMA80,&lt;i&gt;Heracleum maximum&lt;/i&gt; W. Bartram,,common cowparsnip,,0,,,,,,,74048,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,11,hela4_004_thp.jpg,0,false,,,,,false,0,,false,,false,,Heracleum maximum W. Bartram,Spring and Summer,None,Medium,No,No,No,White,Yes,Green,Porous,Porous,Coarse,Brown,No,Multiple Stem,Moderate,,8.0,No,No,Short,No,None,No,Erect,Slight,Yes,Yes,Yes,Medium,Medium,No,Low,Medium,High,110,None,High,7.3,5.4,,,45,14,12,None,Intolerant,-38,Early Summer,Routinely Available,High,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,47569,Rapid,Medium,No,Moderate,No,No,Yes,,No,No,No,Medium,Yes,No,No,No,Low,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
63188,HEMA3,&lt;i&gt;Hesperis matronalis&lt;/i&gt; L.,,dames rocket,,0,,,,,,,63188,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,5,hema3_004_thp.jpg,0,false,,,,,false,0,,false,,false,,Hesperis matronalis L.,Spring and Summer,None,Medium,No,No,No,Purple,Yes,Green,Moderate,Porous,Medium,Brown,No,Bunch,Rapid,,4.5,No,No,Short,No,None,No,Erect,None,No,No,Yes,None,Low,No,Medium,Medium,Low,120,None,Medium,7.0,5.0,18000,4800,60,32,12,None,Intermediate,-23,Spring,No Known Source,Medium,Summer,Fall,No,No,No,Yes,No,No,Yes,No,No,No,224000,Moderate,Medium,No,None,No,No,No,,No,No,Yes,Low,No,No,No,No,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
15078,HEAR22,&lt;i&gt;Hesperocyparis arizonica&lt;/i&gt; (Greene) Bartel,,Arizona cypress,,0,,,,,,,15078,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,15,cuar_001_thp.jpg,0,false,,,,,false,0,,false,,false,,Hesperocyparis arizonica (Greene) Bartel,Spring and Summer,None,High,Yes,No,No,Yellow,No,Dark Green,Dense,Dense,Fine,Brown,No,Single Stem,Moderate,25,50.0,No,Yes,Long,No,None,No,Climbing,None,Yes,No,Yes,None,High,Yes,High,Low,Medium,120,Medium,Low,7.9,6.1,1200,300,30,16,12,Low,Tolerant,-13,Early Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,83000,Moderate,Low,No,None,No,No,No,Medium,Yes,Yes,Yes,Low,No,Yes,Yes,Yes,Low,Low,15080,CUAR,&lt;i&gt;Cupressus arizonica&lt;/i&gt; Greene,,,,0,,,,,,,15078,,false,,,false,,false,,false,,false,false,,false,,false,,false,false,,,0,,0,false,,,,,false,0,,false,,false,,,
23324,HECOC8,&lt;i&gt;Hesperostipa comata&lt;/i&gt; (Trin. &amp; Rupr.) Barkworth ssp. &lt;i&gt;comata &lt;/i&gt;,,needle and thread,,0,,,,,,,23324,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,10,hecoc8_001_thp.jpg,0,false,,,,,false,0,,false,,false,,Hesperostipa comata (Trin. &amp; Rupr.) Barkworth ssp. comata,Spring,None,High,No,No,No,White,No,Green,Dense,Moderate,Medium,White,Yes,Thicket Forming,Moderate,,3.0,No,No,Moderate,No,None,No,Semi-Erect,None,Yes,No,Yes,None,Medium,Yes,High,Low,High,130,None,Low,8.4,6.6,,,20,5,16,None,Intolerant,-38,Early Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,137857,Slow,Low,No,None,No,No,Yes,,No,No,No,Medium,No,No,No,No,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
23339,HESP11,&lt;i&gt;Hesperostipa spartea&lt;/i&gt; (Trin.) Barkworth,,porcupinegrass,,0,,,,,,,23339,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,3,stsp2_003_tvp.jpg,0,false,,,,,false,0,,false,,false,,Hesperostipa spartea (Trin.) Barkworth,Spring and Summer,None,Medium,No,No,No,Yellow,No,Green,Moderate,Porous,Fine,Brown,No,Bunch,Moderate,,4.0,No,No,Moderate,No,None,No,Erect,None,No,No,Yes,None,Medium,No,Medium,Medium,High,85,None,Medium,7.5,5.0,,,45,18,10,None,Intolerant,-38,Late Spring,No Known Source,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,150000,Moderate,Low,No,None,No,No,Yes,,No,No,No,Low,No,No,No,No,Low,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
15058,HELE4,&lt;i&gt;×Hesperotropsis leylandii&lt;/i&gt; (A.B. Jacks. &amp; Dallim.) Garland &amp; Gerry Moore [&lt;i&gt;Hesperocyparis macrocarpa × Callitropsis nootkatensis&lt;/i&gt;],,Leyland cypress,,0,,,,,,,15058,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,0,,0,false,,,,,false,0,,false,,false,,Hesperotropsis leylandii (A.B. Jacks. &amp; Dallim.) Garland &amp; Gerry Moore [Hesperocyparis macrocarpa × ,Spring and Summer,None,High,No,No,No,Brown,No,Green,Dense,Dense,Coarse,Brown,Yes,Single Stem,Rapid,40,70.0,No,Yes,Long,No,None,No,Erect,None,Yes,Yes,Yes,None,Low,No,Medium,Medium,None,180,Low,Medium,7.5,6.0,700,100,100,20,20,Low,Intolerant,7,Spring,Routinely Available,Low,Spring,Fall,Yes,Yes,No,Yes,No,Yes,No,No,No,No,,None,,No,None,No,Yes,No,Medium,No,No,Yes,Low,No,No,No,No,,Low,15060,CULE2,&lt;i&gt;×Cupressocyparis leylandii&lt;/i&gt; (Dallim. &amp; A.B. Jacks.) Dallim.,,,,0,,,,,,,15058,,false,,,false,,false,,false,,false,false,,false,,false,,false,false,,,0,,0,false,,,,,false,0,,false,,false,,,
27112,HEWH,&lt;i&gt;Hesperoyucca whipplei&lt;/i&gt; (Torr.) Baker,,chaparral yucca,,0,,,,,,,27112,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,26,hewh_001_tvp.jpg,0,false,,,,,false,0,,false,,false,,Hesperoyucca whipplei (Torr.) Baker,Spring and Summer,None,High,No,Yes,No,White,Yes,Gray-Green,Porous,Porous,Coarse,Brown,Yes,Colonizing,Slow,3,4.0,No,Yes,Long,No,None,Yes,Semi-Erect,None,Yes,No,Yes,None,Medium,No,High,Low,Medium,200,None,Low,8.5,6.4,2700,700,14,8,14,Low,Intolerant,7,Late Spring,No Known Source,Medium,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,Yes,No,27000,Moderate,Medium,No,Slow,No,No,No,,No,No,Yes,,Yes,No,No,No,,,27116,YUWH,&lt;i&gt;Yucca whipplei&lt;/i&gt; Torr.,,,,0,,,,,,,27112,,false,,,false,,false,,false,,false,false,,false,,false,,false,false,,,0,,0,false,,,,,false,0,,false,,false,,,
